slug,title,date
why-we-need-a-register-of-training-providers,Why we need a register of training providers,22 January 2025
the-principles-underpinning-the-register-of-training-providers,The principles underpinning the register of training providers,23 January 2025
the-characteristics-of-a-register,The characteristics of a register,24 January 2025
defining-the-attributes-of-teacher-training-providers,Defining the attributes of teacher training providers,27 January 2025
mapping-our-stakeholders,Mapping our stakeholders,28 January 2025
initial-user-needs,Initial user needs,29 January 2025
naming-the-service,Naming the service ‘Register of training providers’,30 January 2025
adding-providers-to-the-register,Adding providers to the register,4 February 2025
changing-provider-details,Changing provider details,5 February 2025
managing-provider-addresses,Managing provider addresses,6 February 2025
managing-provider-accreditations,Managing provider accreditations,7 February 2025
managing-provider-contacts,Managing provider contacts,8 February 2025
managing-provider-partnerships,Managing provider partnerships,12 February 2025
searching-and-filtering-the-list-of-training-providers,Searching and filtering the list of training providers,13 February 2025
adding-an-address-using-a-postcode-address-finder,Adding an address using a postcode address finder,20 February 2025
geocoding-addresses,Geocoding addresses,24 February 2025
using-a-postcode-address-finder-in-the-new-provider-flow,Using a postcode address finder in the new provider flow,25 February 2025
reorganising-the-layout-of-the-provider-pages,Reorganising the layout of the provider pages,4 March 2025
updating-how-we-show-provider-type,Updating how we show provider type,7 March 2025
removing-providers-from-the-register,Removing providers from the register,9 March 2025
managing-support-users,Managing support users,11 March 2025
getting-help,Getting help,2 April 2025
service-error-pages,Service error pages,2 April 2025
collecting-feedback-about-the-service,Collecting feedback about the service,3 April 2025
viewing-your-account,Viewing ‘Your account’,7 April 2025
why-we-will-not-reinstate-deleted-user-accounts,Why we will not reinstate deleted user accounts,9 April 2025
creating-a-service-start-page,Creating a service start page,24 April 2025
removing-personal-data-from-page-titles,Removing personal data from page titles,28 April 2025
preventing-duplicate-provider-partnerships,Preventing duplicate provider partnerships,30 April 2025
choosing-the-right-domain-name-for-the-service,Choosing the right domain name for the service,1 May 2025
updating-the-service-to-align-with-the-new-govuk-brand,Updating the service to align with the new GOV.UK brand,2 May 2025
tracking-activity-across-the-service,Tracking activity across the service,21 May 2025
viewing-activity-at-the-provider-level,Viewing activity at the provider level,21 May 2025
why-we-soft-delete-rather-than-hard-delete,Why we soft delete rather than hard delete,23 May 2025
selecting-a-provider-in-the-add-partnership-flow-when-javascript-is-unavailable,Selecting a provider in the add partnership flow when JavaScript is unavailable,4 June 2025
how-we-use-heading-captions,How we use heading captions,9 June 2025
how-we-show-success-error-and-notification-banners,"How we show success, error and notification banners",10 June 2025
why-the-register-of-training-providers-is-not-a-transactional-service,Why the Register of training providers is not a transactional service,11 June 2025
running-design-critiques-to-improve-the-service,Running design critiques to improve the service,13 June 2025
iterating-the-service-following-design-critiques,Iterating the service following design critiques,18 June 2025
releasing-the-first-slice-of-the-register-of-training-providers,Releasing the first slice of the Register of training providers,1 September 2025
linking-partnerships-with-accreditations,Linking partnerships with accreditations,7 October 2025
preventing-accreditations-from-being-deleted-if-linked-to-a-partnership,Preventing accreditations from being deleted if linked to a partnership,8 October 2025
logging-changes-to-a-partnerships-linked-accreditations,Logging changes to a partnership’s linked accreditations,10 October 2025
critiquing-the-link-between-partnerships-and-accreditations,Critiquing the link between partnerships and accreditations,27 October 2025
making-contact-phone-number-optional,Making contact phone number optional,14 November 2025
iterating-on-how-we-set-up-partnerships-between-providers,Iterating on how we set up partnerships between providers,17 November 2025
iterating-on-the-change-provider-partnership-flow,Iterating on the change provider partnership flow,18 November 2025
improving-the-delete-partnership-confirmation-page,Improving the delete partnership confirmation page,19 November 2025
preventing-duplicate-partnerships-based-on-partnership-dates,Preventing duplicate partnerships based on partnership dates,20 November 2025
logging-provider-partnerships-linked-to-academic-years,Logging provider partnerships linked to academic years,21 November 2025
updating-the-your-account-and-support-user-pages,Updating the ‘Your account’ and ‘Support user’ pages,21 November 2025
adding-service-navigation-to-the-service-error-pages,Adding service navigation to the service error pages,22 November 2025
updating-the-provider-accreditation-content,Updating the provider accreditation content,26 November 2025
updating-the-provider-autocomplete,Updating the provider autocomplete,28 November 2025
adding-a-way-for-users-to-create-api-clients,Adding a way for users to create API clients,8 December 2025
logging-changes-to-api-clients,Logging changes to API clients,9 December 2025
managing-api-and-support-user-accounts,Managing API and support user accounts,11 December 2025
